Designator,Mid X,Mid Y,Rotation,Layer
SUB51,465.0,-277.61538,45.0,top
SUB52,491.0,-277.61538,45.0,top
SUB53,517.0,-277.61538,45.0,top
SUB54,543.0,-277.61538,45.0,top
SUB57,399.61538,-291.0,135.0,top
SUB58,425.61538,-291.0,135.0,top
SUB59,451.61538,-291.0,135.0,top
SUB6,543.0,-199.61538,45.0,top
SUB60,477.61538,-291.0,135.0,top
SUB61,503.61538,-291.0,135.0,top
SUB62,529.61538,-291.0,135.0,top
SUB63,555.61538,-291.0,135.0,top
SUB65,413.0,-303.61538,45.0,top
SUB66,439.0,-303.61538,45.0,top
SUB67,465.0,-303.61538,45.0,top
SUB68,491.0,-303.61538,45.0,top
SUB69,517.0,-303.61538,45.0,top
SUB70,543.0,-303.61538,45.0,top
SUB73,399.61538,-317.0,135.0,top
SUB74,425.61538,-317.0,135.0,top
SUB75,451.61538,-317.0,135.0,top
SUB76,477.61538,-317.0,135.0,top
SUB77,503.61538,-317.0,135.0,top
SUB78,529.61538,-317.0,135.0,top
SUB79,555.61538,-317.0,135.0,top
SUB81,413.0,-329.61538,45.0,top
SUB82,439.0,-329.61538,45.0,top
SUB83,465.0,-329.61538,45.0,top
SUB84,491.0,-329.61538,45.0,top
SUB85,517.0,-329.61538,45.0,top
SUB86,543.0,-329.61538,45.0,top
SUB89,399.61538,-343.0,135.0,top
SUB9,399.61538,-213.0,135.0,top
SUB90,425.61538,-343.0,135.0,top
SUB91,451.61538,-343.0,135.0,top
SUB92,477.61538,-343.0,135.0,top
SUB93,503.61538,-343.0,135.0,top
SUB94,529.61538,-343.0,135.0,top
SUB95,555.61538,-343.0,135.0,top
SUB97,413.0,-355.61538,45.0,top
SUB98,439.0,-355.61538,45.0,top
SUB99,465.0,-355.61538,45.0,top
SW1,344.2,-393.42,180.0,top
SW2,344.2,-387.8,180.0,top
TOP1,399.575,-199.575,90.0,top
TOP10,425.575,-225.575,90.0,top
TOP11,451.575,-225.575,90.0,top
TOP12,477.575,-225.575,90.0,top
TOP13,503.575,-225.575,90.0,top
TOP14,529.575,-225.575,90.0,top
TOP15,555.575,-225.575,90.0,top
TOP17,399.575,-251.575,90.0,top
TOP18,425.575,-251.575,90.0,top
TOP19,451.575,-251.575,90.0,top
TOP2,425.575,-199.575,90.0,top
TOP20,477.575,-251.575,90.0,top
TOP21,503.575,-251.575,90.0,top
TOP22,529.575,-251.575,90.0,top
TOP23,555.575,-251.575,90.0,top
TOP25,399.575,-277.575,90.0,top
TOP26,425.575,-277.575,90.0,top
TOP27,451.575,-277.575,90.0,top
TOP28,477.575,-277.575,90.0,top
TOP29,503.575,-277.575,90.0,top
TOP3,451.575,-199.575,90.0,top
TOP30,529.575,-277.575,90.0,top
TOP31,555.575,-277.575,90.0,top
TOP33,399.575,-303.575,90.0,top
TOP34,425.575,-303.575,90.0,top
TOP35,451.575,-303.575,90.0,top
TOP36,477.575,-303.575,90.0,top
TOP37,503.575,-303.575,90.0,top
TOP38,529.575,-303.575,90.0,top
TOP39,555.575,-303.575,90.0,top
TOP4,477.575,-199.575,90.0,top
TOP41,399.575,-329.575,90.0,top
TOP42,425.575,-329.575,90.0,top
TOP43,451.575,-329.575,90.0,top
TOP44,477.575,-329.575,90.0,top
TOP45,503.575,-329.575,90.0,top
TOP46,529.575,-329.575,90.0,top
TOP47,555.575,-329.575,90.0,top
TOP49,399.575,-355.575,90.0,top
TOP5,503.575,-199.575,90.0,top
TOP50,425.575,-355.575,90.0,top
TOP51,451.575,-355.575,90.0,top
TOP52,477.575,-355.575,90.0,top
TOP53,503.575,-355.575,90.0,top
TOP54,529.575,-355.575,90.0,top
TOP55,555.575,-355.575,90.0,top
TOP6,529.575,-199.575,90.0,top
TOP7,555.575,-199.575,90.0,top
TOP9,399.575,-225.575,90.0,top
U1,362.3286,-387.3126,90.0,top
U3,373.9501,-381.9751,180.0,top
U4,363.2001,-371.5501,180.0,top
USB1,329.0,-379.0,270.0,top
Y1,383.1536,-384.7626,90.0,top
