Ref,Val,Package,PosX,PosY,Rot,Side
"D114","CUS05S30","CUS05S30H3F",517.100000,-174.750000,-90.000000,top
"D115","CUS05S30","CUS05S30H3F",529.950000,-178.950000,-90.000000,top
"D116","CUS05S30","CUS05S30H3F",543.050000,-174.600000,-90.000000,top
"D117","CUS05S30","CUS05S30H3F",555.950000,-178.900000,-90.000000,top
"D118","CUS05S30","CUS05S30H3F",399.000000,-178.050000,-90.000000,top
"D119","CUS05S30","CUS05S30H3F",399.000000,-176.500000,-90.000000,top
"D120","CUS05S30","CUS05S30H3F",426.000000,-177.650000,-90.000000,top
"D121","CUS05S30","CUS05S30H3F",426.000000,-176.100000,-90.000000,top
"D122","CUS05S30","CUS05S30H3F",452.000000,-177.450000,-90.000000,top
"D123","CUS05S30","CUS05S30H3F",452.000000,-175.900000,-90.000000,top
"D124","CUS05S30","CUS05S30H3F",477.950000,-177.450000,-90.000000,top
"D125","CUS05S30","CUS05S30H3F",477.950000,-175.950000,-90.000000,top
"D126","CUS05S30","CUS05S30H3F",503.950000,-177.550000,-90.000000,top
"D127","CUS05S30","CUS05S30H3F",503.950000,-176.025000,-90.000000,top
"D128","CUS05S30","CUS05S30H3F",529.950000,-177.400000,-90.000000,top
"D129","CUS05S30","CUS05S30H3F",529.950000,-175.850000,-90.000000,top
"D130","CUS05S30","CUS05S30H3F",555.950000,-177.350000,-90.000000,top
"D131","CUS05S30","CUS05S30H3F",555.950000,-175.800000,-90.000000,top
"D132","CUS05S30","CUS05S30H3F",399.010000,-171.910000,-90.000000,top
"D133","CUS05S30","CUS05S30H3F",426.000000,-171.500000,-90.000000,top
"D134","CUS05S30","CUS05S30H3F",451.990000,-171.300000,-90.000000,top
"D135","CUS05S30","CUS05S30H3F",477.970000,-171.320000,-90.000000,top
"D136","CUS05S30","CUS05S30H3F",503.960000,-171.410000,-90.000000,top
"D137","CUS05S30","CUS05S30H3F",529.950000,-171.150000,-90.000000,top
"D138","CUS05S30","CUS05S30H3F",555.950000,-171.150000,-90.000000,top
"D139","CUS05S30","CUS05S30H3F",399.000000,-170.350000,-90.000000,top
"D140","CUS05S30","CUS05S30H3F",426.000000,-169.950000,-90.000000,top
"D141","CUS05S30","CUS05S30H3F",452.000000,-169.750000,-90.000000,top
"D142","CUS05S30","CUS05S30H3F",478.000000,-169.750000,-90.000000,top
"D143","CUS05S30","CUS05S30H3F",503.950000,-169.850000,-90.000000,top
"D144","CUS05S30","CUS05S30H3F",529.950000,-169.550000,-90.000000,top
"D145","CUS05S30","CUS05S30H3F",555.950000,-169.550000,-90.000000,top
"D146","CUS05S30","CUS05S30H3F",399.000000,-174.950000,-90.000000,top
"D147","CUS05S30","CUS05S30H3F",426.000000,-174.575000,-90.000000,top
"D148","CUS05S30","CUS05S30H3F",451.975000,-174.350000,-90.000000,top
"D149","CUS05S30","CUS05S30H3F",477.950000,-174.400000,-90.000000,top
"D150","CUS05S30","CUS05S30H3F",503.950000,-174.500000,-90.000000,top
"D151","CUS05S30","CUS05S30H3F",529.950000,-174.325000,-90.000000,top
"D152","CUS05S30","CUS05S30H3F",555.950000,-174.250000,-90.000000,top
"D153","CUS05S30","CUS05S30H3F",399.000000,-173.420000,-90.000000,top
"D154","CUS05S30","CUS05S30H3F",426.010000,-173.050000,-90.000000,top
"D155","CUS05S30","CUS05S30H3F",451.975000,-172.825000,-90.000000,top
"D156","CUS05S30","CUS05S30H3F",477.950000,-172.875000,-90.000000,top
"D157","CUS05S30","CUS05S30H3F",503.950000,-172.950000,-90.000000,top
"D158","CUS05S30","CUS05S30H3F",529.950000,-172.800000,-90.000000,top
